head_x, head_y, head_z, neck_x, neck_y, neck_z, torso_x, torso_y, torso_z, left_shoulder_x, left_shoulder_y, left_shoulder_z, right_shoulder_x,right_shoulder_y, right_shoulder_z,left_elbow_x, left_elbow_y, left_elbow_z, right_elbow_x, right_elbow_y, right_elbow_z, left_hand_x, left_hand_y, left_hand_z, right_hand_x, right_hand_y, right_hand_z, left_hip_x, left_hip_y, left_hip_z, right_hip_x, right_hip_y, right_hip_z,left_knee_x,left_knee_y,left_knee_z, right_knee_x, right_knee_y, right_knee_z, left_feet_x, left_feet_y, left_feet_z, right_feet_x, right_feet_y, right_feet_z
279.08838,95.94588,279.08838,278.6197,183.86037,278.6197,277.856,246.27948,277.856,230.4925,184.41592,230.4925,327.49707,183.29614,327.49707,189.57115,237.54343,189.57115,382.26385,232.98021,382.26385,201.36996,309.9083,201.36996,358.41412,296.62448,358.41412,246.74321,426.6903,246.74321,317.55054,413.28995,317.55054,246.05661,309.6872,246.05661,308.4073,310.2212,308.4073,257.41068,524.6879,257.41068,310.4374,519.2291,310.4374,
280.34094,96.30054,280.34094,279.25183,184.0722,279.25183,278.37247,246.28976,278.37247,231.43295,184.68039,231.43295,327.99512,183.45224,327.99512,192.57109,235.17361,192.57109,384.31696,233.77933,384.31696,203.38815,311.29968,203.38815,357.11438,297.27545,357.11438,251.45885,423.39563,251.45885,317.13232,412.515,317.13232,247.27505,309.31274,247.27505,308.04428,310.05374,308.04428,257.0459,523.17236,257.0459,310.39014,519.7134,310.39014,
282.08783,96.821304,282.08783,281.76855,185.16986,281.76855,280.3687,246.5523,280.3687,234.91512,185.77945,234.91512,329.92554,184.5433,329.92554,195.78229,233.76118,195.78229,386.80093,235.46237,386.80093,203.84448,311.27454,203.84448,358.39673,297.17297,358.39673,253.74413,422.04456,253.74413,314.3134,470.24054,314.3134,249.59572,308.42114,249.59572,308.79584,309.77118,308.79584,259.55917,521.31946,259.55917,310.4003,582.6611,310.4003,
282.09702,97.009995,282.09702,283.2687,185.52846,283.2687,281.14322,246.68575,281.14322,236.72865,186.11484,236.72865,331.40845,184.92194,331.40845,199.59592,235.562,199.59592,389.66577,238.7435,389.66577,206.26526,313.60184,206.26526,357.72623,297.6167,357.72623,251.75786,421.13205,251.75786,311.87656,429.81784,311.87656,249.74306,308.31055,249.74306,308.8196,310.17816,308.8196,260.60645,520.1228,260.60645,310.20428,525.88306,310.20428,
283.49475,97.26672,283.49475,284.5915,185.58026,284.5915,282.1823,246.01018,282.1823,236.57832,186.41202,236.57832,334.70184,184.71217,334.70184,207.13208,236.85944,207.13208,390.23444,239.39993,390.23444,204.04932,312.76523,204.04932,355.41187,299.99722,355.41187,254.08414,413.37448,254.08414,313.46396,423.13757,313.46396,251.26053,306.82428,251.26053,308.89865,308.90167,308.89865,263.3521,512.57935,263.3521,312.03003,524.10614,312.03003,
284.5059,97.3047,284.5059,285.14752,185.88324,285.14752,282.58148,244.96889,282.58148,238.06396,187.37476,238.06396,334.33987,184.32494,334.33987,206.70444,237.10066,206.70444,390.9475,239.68805,390.9475,204.57967,315.42645,204.57967,356.39227,298.54175,356.39227,256.18143,411.81366,256.18143,314.73157,419.8619,314.73157,251.41656,305.37463,251.41656,309.2043,306.70798,309.2043,263.9426,511.72348,263.9426,312.4726,523.59973,312.4726,
285.18433,97.65083,285.18433,285.93427,185.98686,285.93427,283.12814,245.2274,283.12814,239.4168,187.31644,239.4168,334.71198,184.5927,334.71198,209.78497,237.2242,209.78497,392.68155,245.1267,392.68155,205.38289,316.14526,205.38289,355.61823,298.91895,355.61823,214.41507,471.19446,214.41507,309.3066,466.93008,309.3066,251.84421,305.37772,251.84421,309.45795,307.18768,309.45795,245.4535,565.9398,245.4535,311.4228,587.82666,311.4228,
285.8199,97.875275,285.8199,286.58487,185.96779,286.58487,283.51648,245.46507,283.51648,239.34393,186.84998,239.34393,336.2497,185.04031,336.2497,216.41466,244.3403,216.41466,393.1449,245.81616,393.1449,206.53006,316.54126,206.53006,352.34244,302.54697,352.34244,240.93614,407.23694,240.93614,311.50064,418.63992,311.50064,252.01752,305.24805,252.01752,309.57965,307.7647,309.57965,263.6416,519.63055,263.6416,311.00177,529.8627,311.00177,
286.41885,97.94049,286.41885,286.81268,186.12444,286.81268,283.78653,245.40121,283.78653,240.42871,187.16919,240.42871,335.548,185.0267,335.548,220.40727,248.51051,220.40727,392.97488,246.11317,392.97488,206.97797,318.53235,206.97797,343.5326,308.84238,343.5326,241.93384,408.1304,241.93384,309.73376,419.5473,309.73376,252.39914,305.16623,252.39914,309.81583,307.46893,309.81583,263.54706,522.5162,263.54706,310.96722,530.0033,310.96722,
286.92532,97.962875,286.92532,287.09354,185.99428,287.09354,283.87222,245.29286,283.87222,240.39066,187.08727,240.39066,336.3241,184.84215,336.3241,222.33571,250.4161,222.33571,392.169,246.49785,392.169,204.93704,319.10037,204.93704,345.94522,307.7817,345.94522,245.72058,407.35004,245.72058,310.7002,424.08923,310.7002,252.43634,305.02472,252.43634,309.58823,307.4732,309.58823,263.5037,521.4084,263.5037,311.1322,531.2792,311.1322,
288.2374,98.24399,288.2374,287.20767,186.06104,287.20767,283.76837,245.36824,283.76837,240.7088,187.16507,240.7088,336.36993,184.89375,336.36993,223.64789,251.823,223.64789,392.1216,246.4376,392.1216,203.8186,317.05707,203.8186,344.0266,307.3002,344.0266,236.60394,415.79642,236.60394,311.04193,425.52582,311.04193,251.97696,304.99802,251.97696,309.45737,307.67075,309.45737,263.3801,521.6056,263.3801,311.5612,531.669,311.5612,
289.1589,98.48337,289.1589,286.9074,186.28854,286.9074,283.40298,245.48007,283.40298,240.33585,187.39514,240.33585,336.17932,185.11781,336.17932,224.08136,252.62996,224.08136,392.49075,246.61313,392.49075,205.33633,318.8548,205.33633,345.95737,305.51398,345.95737,239.35486,420.42493,239.35486,312.06415,471.54425,312.06415,251.41684,304.98444,251.41684,309.1701,307.70233,309.1701,263.46573,520.07935,263.46573,310.17383,594.0653,310.17383,
288.98825,98.39906,288.98825,286.70764,186.3761,286.70764,283.14124,245.72562,283.14124,240.11166,187.31549,240.11166,336.00848,185.38216,336.00848,223.40234,252.07259,223.40234,392.68015,246.3316,392.68015,204.42052,318.90714,204.42052,346.18036,307.09512,346.18036,242.28313,432.64215,242.28313,310.26434,427.92197,310.26434,250.97856,305.19424,250.97856,308.97665,308.1441,308.97665,264.28717,521.7427,264.28717,308.24088,535.1378,308.24088,
288.97638,98.490326,288.97638,286.47885,186.37602,286.47885,282.90796,245.68687,282.90796,240.08206,187.38046,240.08206,335.6235,185.3121,335.6235,220.19788,249.53142,220.19788,392.82144,246.19778,392.82144,204.0311,318.79166,204.0311,343.99432,307.42743,343.99432,242.35971,431.76343,242.35971,309.77042,428.7481,309.77042,250.70401,305.1048,250.70401,308.80316,308.06744,308.80316,264.23593,522.6358,264.23593,307.66748,535.4389,307.66748,
289.0548,98.48227,289.0548,286.24203,186.24277,286.24203,282.8083,245.61232,282.8083,239.85498,187.39081,239.85498,335.4083,185.02592,335.4083,212.31178,243.30745,212.31178,392.8344,245.33823,392.8344,201.63535,317.51666,201.63535,355.5381,300.55902,355.5381,353.09384,282.81168,353.09384,318.82913,430.6563,318.82913,250.68912,305.14587,250.68912,308.91666,307.98465,308.91666,269.30017,508.4176,269.30017,309.23444,536.5764,309.23444,
289.16617,98.46123,289.16617,286.1202,186.02475,286.1202,282.70926,245.41983,282.70926,239.44052,187.16432,239.44052,335.54877,184.81805,335.54877,209.48828,237.15073,209.48828,393.00543,244.90823,393.00543,200.37296,316.0168,200.37296,358.03424,295.856,358.03424,355.58612,281.89374,355.58612,322.72067,429.98236,322.72067,250.47751,305.0345,250.47751,308.9597,307.81165,308.9597,308.94687,399.16626,308.94687,310.61276,537.1808,310.61276,
289.14682,98.483734,289.14682,285.83698,185.67926,285.83698,282.56656,245.08224,282.56656,238.84424,186.83261,238.84424,335.49777,184.46043,335.49777,207.67886,237.82478,207.67886,392.35745,241.95723,392.35745,203.42404,321.31134,203.42404,353.24982,300.35565,353.24982,289.88547,371.71082,289.88547,322.2749,467.49017,322.2749,250.18852,304.79474,250.18852,309.22745,307.4193,309.22745,254.53091,524.5228,254.53091,308.96878,595.4368,308.96878,
288.97577,98.34209,288.97577,285.52386,185.58846,285.52386,282.35846,244.99953,282.35846,238.40317,186.82486,238.40317,335.3531,184.281,335.3531,201.81964,240.52802,201.81964,392.45593,242.91855,392.45593,198.80989,315.7015,198.80989,352.80856,301.97772,352.80856,241.48595,462.61334,241.48595,320.34534,435.14325,320.34534,250.1933,304.72897,250.1933,309.02704,307.28018,309.02704,255.62488,553.4271,255.62488,308.6008,541.44867,308.6008,
288.73273,98.075,288.73273,281.48224,186.13087,281.48224,280.24496,245.59427,280.24496,231.2803,187.90376,231.2803,334.22537,184.26825,334.22537,195.87018,236.94376,195.87018,391.32507,241.82622,391.32507,198.09283,316.04688,198.09283,353.0111,301.6883,353.0111,236.10645,441.49078,236.10645,320.94177,435.95157,320.94177,249.40639,305.5181,249.40639,309.42758,306.85767,309.42758,252.88826,530.42456,252.88826,309.39172,540.96204,309.39172,
287.55402,97.00592,287.55402,280.06348,186.23238,280.06348,279.24673,246.099,279.24673,228.79315,187.88853,228.79315,333.65994,184.50107,333.65994,191.16946,234.31296,191.16946,390.3437,241.20332,390.3437,198.38162,314.50024,198.38162,350.78668,301.19836,350.78668,245.92285,435.17972,245.92285,320.09,437.97742,320.09,248.40442,306.35123,248.40442,309.21262,307.49387,309.21262,253.43362,530.7405,253.43362,310.2027,541.8384,310.2027,
284.95135,95.10359,284.95135,278.7503,186.36446,278.7503,276.47977,246.56546,276.47977,227.12836,185.74661,227.12836,332.14865,187.00357,332.14865,182.57053,237.22676,182.57053,382.3548,239.99767,382.3548,192.3813,313.22183,192.3813,345.9457,304.7005,345.9457,244.48846,429.7481,244.48846,315.49188,436.56665,315.49188,245.20541,305.7254,245.20541,303.73273,308.7091,303.73273,253.77274,526.21533,253.77274,308.16885,548.5439,308.16885,
281.31192,93.51019,281.31192,277.17743,187.33276,277.17743,274.76343,247.47197,274.76343,224.19437,185.82597,224.19437,331.4486,188.8762,331.4486,177.75551,236.4329,177.75551,381.1698,241.96712,381.1698,190.47527,314.93774,190.47527,342.89792,307.6218,342.89792,242.42288,428.46567,242.42288,312.03622,436.41025,312.03622,242.73819,305.9831,242.73819,302.3581,309.2886,302.3581,253.75488,525.26776,253.75488,308.13422,549.0062,308.13422,
275.13342,93.04498,275.13342,269.07147,186.56851,269.07147,267.50748,247.90819,267.50748,214.87222,185.76529,214.87222,323.9665,187.38208,323.9665,168.11754,239.15697,168.11754,370.83917,237.91727,370.83917,184.11375,316.29352,184.11375,338.22543,302.68054,338.22543,225.29002,463.48676,225.29002,309.72913,461.42725,309.72913,235.25314,308.7305,235.25314,296.83627,310.52994,296.83627,257.02826,568.1471,257.02826,310.10306,597.6938,310.10306,
271.4773,92.678116,271.4773,263.6181,185.76834,263.6181,263.42996,247.2135,263.42996,210.14221,185.84329,210.14221,317.27982,185.69312,317.27982,162.5363,240.70393,162.5363,365.05774,235.37408,365.05774,175.76395,319.6229,175.76395,335.74936,300.19,335.74936,221.89984,464.03247,221.89984,305.10913,429.72083,305.10913,229.9573,308.8788,229.9573,296.59634,309.05115,296.59634,253.7168,570.3983,253.7168,306.8723,545.78076,306.8723,
266.925,93.350174,266.925,252.72456,184.26904,252.72456,254.28094,248.33984,254.28094,200.34375,185.60095,200.34375,304.99246,182.94002,304.99246,151.8005,243.52277,151.8005,352.6655,236.30663,352.6655,170.88713,326.43762,170.88713,328.72116,301.24936,328.72116,219.42447,437.92383,219.42447,295.4487,464.68866,295.4487,223.19685,313.65698,223.19685,288.44992,311.82483,288.44992,247.25853,535.7853,247.25853,306.747,594.7837,306.747,
262.48718,93.13292,262.48718,247.37827,183.07199,247.37827,249.56512,247.98773,249.56512,195.06714,184.65465,195.06714,299.38358,181.49858,299.38358,145.19955,244.7847,145.19955,345.7957,235.80357,345.7957,161.35097,324.20422,161.35097,323.00256,300.1511,323.00256,218.93777,436.77225,218.93777,286.9874,429.39673,286.9874,219.7452,314.09894,219.7452,283.6436,311.69885,283.6436,245.34616,536.412,245.34616,301.3216,540.71246,301.3216,
247.55026,92.71741,247.55026,236.03476,182.8837,236.03476,239.92902,246.2501,239.92902,182.892,185.78558,182.892,288.66367,180.00986,288.66367,134.98302,246.02133,134.98302,332.00452,234.97356,332.00452,146.02281,325.48206,146.02281,308.68127,299.52032,308.68127,186.78828,442.0008,186.78828,283.27063,432.4163,283.27063,215.92374,311.29913,215.92374,271.56012,307.61157,271.56012,240.71123,536.91406,240.71123,298.54236,541.7964,298.54236,
238.49799,92.86128,238.49799,221.12181,182.28964,221.12181,221.13045,245.89612,221.13045,164.02509,181.35526,164.02509,276.40707,183.19438,276.40707,119.35074,249.6138,119.35074,315.8956,240.07472,315.8956,129.85062,329.57336,129.85062,298.1598,302.23193,298.1598,183.44237,448.93585,183.44237,277.8513,429.74,277.8513,181.1792,310.52267,181.1792,260.20322,308.92657,260.20322,235.85107,540.51953,235.85107,294.28296,537.067,294.28296,
